views,video_age,title,url,upload_date(estimate)
49000,58 minutes ago,When a Killer Vlogs His Murders,https://www.youtube.com/watch?v=-vorUEpbHNU,2023-11-24
34000000,5 days ago,When Evil Teens Think Murder is Hilarious,https://www.youtube.com/watch?v=KC0GtU_Dtdo,2023-11-20
38000000,3 weeks ago,The Disturbing Case of Daniel Marsh,https://www.youtube.com/watch?v=Fwvm3pQCJlg,2023-11-04
28000000,3 weeks ago,The Disturbing Case of Ethan Windom,https://www.youtube.com/watch?v=nInpsReK8Sk,2023-11-04
24000000,1 month ago,Killer LAUGHS About Mugshot After Murdering Ex,https://www.youtube.com/watch?v=OTE59yYMm0Q,2023-10-26
57000000,1 month ago,Dad Is SICKENED By Killer Son's Confession,https://www.youtube.com/watch?v=M1Hhy9bR6WE,2023-10-26
89000000,1 month ago,Victim Burnt Alive Survives Long Enough to Solve Her Own Murder,https://www.youtube.com/watch?v=jl16HH-PVLc,2023-10-26
32000000,2 months ago,The Disturbing Case of Sonny Kim,https://www.youtube.com/watch?v=cFBslqiCPIw,2023-09-26
52000000,2 months ago,14 Year Old Killer Thinks He's Going Home,https://www.youtube.com/watch?v=sBZpcEQJT6A,2023-09-26
31000000,2 months ago,Sister Loses It After Discovering Her Brother's Darkest Secret,https://www.youtube.com/watch?v=CPIz8bnx7uk,2023-09-26
45000000,3 months ago,Killer Realizes Every Shocking Word Was Recorded,https://www.youtube.com/watch?v=ZuTV4r9bVHk,2023-08-27
10000000,3 months ago,When An Insane Teen Killer Makes Detectives Snap,https://www.youtube.com/watch?v=idZ6AwE5oaE,2023-08-27
12000000,4 months ago,Husband Loses It After Discovering Why His Wife Disappeared,https://www.youtube.com/watch?v=Job-3HzVJYQ,2023-07-28
34000000,4 months ago,Brother Outsmarts His Sister's Killer in the Most Unexpected Way,https://www.youtube.com/watch?v=B_e6Rsfu8Sk,2023-07-28
98000000,5 months ago,Babysitter Laughs After Killing Baby & Taking Lifeless Body to McDonald's,https://www.youtube.com/watch?v=cIaj123_PaE,2023-06-28
47000000,5 months ago,Realizing She Spent The Weekend With A Killer & 2 Bodies,https://www.youtube.com/watch?v=q-d3XvG28zU,2023-06-28
58000000,6 months ago,When An Evil Mother Realizes She's Been Caught,https://www.youtube.com/watch?v=XYs1xxotmmQ,2023-05-29
71000000,6 months ago,Predator Realizes He's Going To Prison For Life,https://www.youtube.com/watch?v=YBBTfy29WKI,2023-05-29
79000000,7 months ago,When A Killer Realizes His Victim Tricked Him,https://www.youtube.com/watch?v=x4_j-PofxaI,2023-04-29
28000000,7 months ago,When the Detective Does the Unthinkable,https://www.youtube.com/watch?v=p8_QVKgdz3A,2023-04-29
88000000,7 months ago,When A Killer Doesn't Realize He's Being Filmed,https://www.youtube.com/watch?v=ReP0y0GNE9E,2023-04-29
6000000,7 months ago,When Police Unexpectedly Film The Killer At The Crime Scene,https://www.youtube.com/watch?v=Y6yB_nCbwGA,2023-04-29
84000000,7 months ago,Detective Realizes The Victim Is Actually The Killer,https://www.youtube.com/watch?v=YDoZVqlMdrA,2023-04-29
48000000,8 months ago,Wife Is SICKENED After Discovering Husband’s Double Life,https://www.youtube.com/watch?v=VmJb6kAh04A,2023-03-30
7000000,8 months ago,13 Year Olds Murder Grandma For $155,https://www.youtube.com/watch?v=mxJeFECCfFA,2023-03-30
37000000,9 months ago,They Don't Think Killing Their Daughter Was Wrong,https://www.youtube.com/watch?v=TSFcsvEQDCQ,2023-02-28
7000000,9 months ago,When Evil Teens Realize They've Been Caught,https://www.youtube.com/watch?v=bRd9NABkq2o,2023-02-28
44000000,9 months ago,Moments Before A Killer Snaps,https://www.youtube.com/watch?v=jk5Nxc-0ZTc,2023-02-28
6000000,9 months ago,Doctors Are SICKENED By What She Did To Toddler,https://www.youtube.com/watch?v=J8PXTUUEwU4,2023-02-28
93000000,9 months ago,Teen Killer Shocks Detectives By The Way He Speaks,https://www.youtube.com/watch?v=OoWSWlAX6Sk,2023-02-28
75000000,10 months ago,Genius Cops Flatter Psychopath Into Confessing,https://www.youtube.com/watch?v=CfDZHhsby3s,2023-01-29
87000000,10 months ago,When A Killer Thinks He's A Genius (but he's an idiot),https://www.youtube.com/watch?v=ufDLMeNT8Yw,2023-01-29
47000000,10 months ago,Thrill Killer Thinks He Got Away With It,https://www.youtube.com/watch?v=k4VHOmEJDTg,2023-01-29
71000000,10 months ago,16 Pounds At 5 Years Old: The Sickening Case of Cali Anderson,https://www.youtube.com/watch?v=aFUcRn00sPc,2023-01-29
94000000,11 months ago,The Horror Inside the Hollowed Tree,https://www.youtube.com/watch?v=AEcCyFHNv2A,2022-12-30
68000000,11 months ago,Moments Before A Killer Does The Unthinkable,https://www.youtube.com/watch?v=rFIBLuxMw-8,2022-12-30
23000000,1 year ago,When Teen Killers Realize They've Been Caught,https://www.youtube.com/watch?v=xrCmFutB1Uc,2022-11-25
72000000,1 year ago,The Mass Killer Who Murdered Over My Little Pony,https://www.youtube.com/watch?v=n-abxgFv1bU,2022-11-25
81000000,1 year ago,A Husband's House of Horrors,https://www.youtube.com/watch?v=A01e2gr8wBU,2022-11-25
64000000,1 year ago,Everyone Around Him Mysteriously Drops Dead,https://www.youtube.com/watch?v=v8HD2NNhBjs,2022-11-25
54000000,1 year ago,Heartbroken Grandma Embraces Teen's Killer,https://www.youtube.com/watch?v=IZTRNp715Mo,2022-11-25
4000000,1 year ago,When A Crazy Girlfriend Finally Snaps,https://www.youtube.com/watch?v=S7zSa5VAu7Q,2022-11-25
77000000,1 year ago,The Most Twisted Interrogation You'll Ever See,https://www.youtube.com/watch?v=eEHTB7ZVFm8,2022-11-25
83000000,1 year ago,Detective Realizes Killer Is Hiding The Unthinkable,https://www.youtube.com/watch?v=F1oeZe6SET4,2022-11-25
82000000,1 year ago,Killer Realizes He's Finally Been Caught Years Later,https://www.youtube.com/watch?v=Zrsb0nJzX2w,2022-11-25
44000000,1 year ago,The Horrifying Crimes of Brian Golsby,https://www.youtube.com/watch?v=0Vd4smyVWyo,2022-11-25
52000000,1 year ago,Mitchelle Blair's House of Horrors,https://www.youtube.com/watch?v=Qow9ZFMyxMo,2022-11-25
30000000,1 year ago,What A 15 Year Old Mass Killer Looks Like,https://www.youtube.com/watch?v=MtNASztI83c,2022-11-25
14000000,1 year ago,When A Killer Doesn't Realize He's Being Recorded,https://www.youtube.com/watch?v=VIJScR3B2ws,2022-11-25
11000000,1 year ago,What A Psychopath Looks Like | Educational Documentary,https://www.youtube.com/watch?v=25wC533f7dQ,2022-11-25
25000000,1 year ago,The Craziest Interrogation You'll Ever See,https://www.youtube.com/watch?v=B2WVEla34Tk,2022-11-25
3000000,1 year ago,Cops Are SICKENED By What She Did To Baby,https://www.youtube.com/watch?v=lx2zd0-WdAc,2022-11-25
20000000,1 year ago,The Most Shocking Interrogation You've Ever Seen: Markeith Loyd | Documentary,https://www.youtube.com/watch?v=781YkcgBnC4,2022-11-25
13000000,1 year ago,A 16 Year Old Killer's Video Diary | Documentary,https://www.youtube.com/watch?v=U9AK4LI40KM,2022-11-25
